branch	metric	n	remission	nonremission	mean_remission	mean_nonremission	estimate	se	lower	upper	p_OLS	se_HC3	lower_HC3	upper_HC3	p_HC3	p_exact_permutation	df	permutation_assignments	BH_two_main
author_annotated::all_fixed::threshold20	within_state_contribution	16	6	10	0.6905227643292752	-0.7926256292303033	1.4831483935595786	0.5234064348970758	0.3605532396218136	2.605743547497344	0.013271044505963276	0.4892601783689928	0.4337896760654725	2.5325071110536848	0.008974772811270194	0.01560939060939061	14	8008	
author_annotated::all_fixed::threshold20	total_epi_linear_change	16	6	10	0.5828472915766717	-0.7588622388757537	1.3417095304524254	0.6036368588304377	0.04703723129638382	2.636381829608467	0.043218234035922544	0.5561240651872013	0.148942038608183	2.5344770222966675	0.030132003007389743	0.044705294705294704	14	8008	
author_annotated::all_fixed::threshold50	delta_ct_logit_epi	19	6	13	-0.13880709601311528	0.04942650881638537	-0.18823360482950063	0.26898491030602517	-0.7557421587952498	0.37927494913624843	0.4935225799597306	0.29924007494103166	-0.8195749764520981	0.44310776679309677	0.5376854534406551	0.49026979212737726	17	27132	
author_annotated::all_fixed::threshold50	delta_ct_logit_all	19	6	13	0.6411601147019039	-0.21368554846261537	0.8548456631645193	0.47390637272335606	-0.14500938444169886	1.8547007107707374	0.08900789632686772	0.511777686800761	-0.22491087283522593	1.9346021991642646	0.11315817212367368	0.0896358543417367	17	27132	
author_annotated::all_fixed::threshold50	delta_ct_state_score	13	5	8	1.3969798379211062	-0.6750656461495774	2.0720454840706837	0.6947868066879546	0.5428300331230376	3.60126093501833	0.012468692015214135	0.8001283766306109	0.3109748009384956	3.8331161672028715	0.02515429790782462	0.012432012432012432	11	1287	
author_annotated::all_fixed::threshold50	delta_epi_score	19	6	13	1.187946799018172	-0.16593047075980655	1.3538772697779786	0.7646966754306818	-0.2594916883630207	2.967246227918978	0.09457684447463217	0.5881323047777266	0.11302657133091976	2.5947279682250377	0.03425038197369282	0.0944641014300457	17	27132	
author_annotated::all_fixed::threshold50	composition_contribution	13	5	8	-0.04820499756003997	0.043227826664880155	-0.09143282422492013	0.21064963163888195	-0.5550695374408695	0.3722038889910292	0.6726416645147819	0.18798830613936035	-0.5051922963084162	0.3223266478585759	0.6362463890980063	0.7086247086247086	11	1287	
author_annotated::all_fixed::threshold50	within_state_contribution	13	5	8	0.590821543329199	-0.7451188939699172	1.3359404372991162	0.619791468963477	-0.02821138824089431	2.7000922628391266	0.05412960709999748	0.5997866406075946	0.015818942100583433	2.656061932497649	0.04774654255370926	0.06060606060606061	11	1287	
author_annotated::all_fixed::threshold50	total_epi_linear_change	13	5	8	0.5426165457691589	-0.7018910673050367	1.2445076130741954	0.7079097528860439	-0.3135912477121263	2.802606473860517	0.10650114067507516	0.6830162062358248	-0.25880092095294516	2.747816147101336	0.09571808790546638	0.10955710955710955	11	1287	
author_annotated::author_both::threshold10	delta_ct_logit_epi	17	4	13	-0.10492798951794588	0.03875878104265618	-0.14368677056060206	0.3627706424792342	-0.9169140916153937	0.6295405504941896	0.6976218478998855	0.46022917170921535	-1.124642029453561	0.837268488332357	0.7591811815940084	0.6899159663865546	15	2380	
author_annotated::author_both::threshold10	delta_ct_logit_all	17	4	13	1.2411217502379979	-0.1861691900364422	1.42729094027444	0.5334118657647559	0.2903504613939589	2.564231419154921	0.017277282412437114	0.3389392387402444	0.7048590538891697	2.14972282665971	0.0007558438465014848	0.015126050420168067	15	2380	
