set	contrast	estimate	se	lower	upper	p
HALLMARK_DNA_REPAIR	Placebo_within_change	0.0111441654342897	0.0230909347286448	-0.0367435022121765	0.0590318330807558	0.634132493720817
HALLMARK_DNA_REPAIR	Placebo_response_difference	0.000692211923658354	0.0496224733965741	-0.102503370761488	0.103887794608805	0.989001897808019
HALLMARK_DNA_REPAIR	golimumab_within_change	-0.0305287663319296	0.0212625907785621	-0.0734694395469648	0.0124119068831056	0.158646194948987
HALLMARK_DNA_REPAIR	golimumab_response_difference	0.00279143030360295	0.0434973875684664	-0.0851200692536385	0.0907029298608444	0.94915079559903
HALLMARK_DNA_REPAIR	GLM_minus_Placebo	-0.0416729317662193	0.0313893139979058	-0.104599098641457	0.0212532351090187	0.189868844675775
HALLMARK_DNA_REPAIR	pooled_response_arm_adjusted	0.00208496257958313	0.0330236530822396	-0.0639283793202053	0.0680983044793715	0.949861768604124
HALLMARK_DNA_REPAIR	arm_response_interaction	0.00209921837994462	0.0704575686318098	-0.138789397597622	0.142987834357511	0.976328547272967
HALLMARK_E2F_TARGETS	Placebo_within_change	-0.0450811830263135	0.0342559033091716	-0.116123578315929	0.0259612122633019	0.201718523004765
HALLMARK_E2F_TARGETS	Placebo_response_difference	-0.081903492032967	0.0714138010635054	-0.230416621429261	0.0666096373633271	0.264328489069218
HALLMARK_E2F_TARGETS	golimumab_within_change	-0.0498481996143187	0.0264646637556519	-0.103294672337813	0.00359827310917523	0.0667283855655191
HALLMARK_E2F_TARGETS	golimumab_response_difference	-0.0474061259157509	0.053620817085435	-0.155777839735238	0.060965587903736	0.381925971183025
HALLMARK_E2F_TARGETS	GLM_minus_Placebo	-0.00476701658800521	0.0432879352617681	-0.0918464248650511	0.0823123916890407	0.91277940723648
HALLMARK_E2F_TARGETS	pooled_response_arm_adjusted	-0.0590158164359679	0.0426182743744906	-0.144208533015688	0.0261769001437522	0.171090931666115
HALLMARK_E2F_TARGETS	arm_response_interaction	0.0344973661172161	0.0908214796977562	-0.147111406710556	0.216106138944988	0.705385616007516
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	Placebo_within_change	-0.0392335302687724	0.0360890249327676	-0.114077587123756	0.0356105265862113	0.288746277571273
