program	gene	role
COMMON194_INFLAMMATION	SCN1B	context
COMMON194_INFLAMMATION	SELE	context
COMMON194_INFLAMMATION	SELENOS	context
COMMON194_INFLAMMATION	SELL	context
COMMON194_INFLAMMATION	SEMA4D	context
COMMON194_INFLAMMATION	SERPINE1	context
COMMON194_INFLAMMATION	SGMS2	context
COMMON194_INFLAMMATION	SLAMF1	context
COMMON194_INFLAMMATION	SLC11A2	context
COMMON194_INFLAMMATION	SLC1A2	context
COMMON194_INFLAMMATION	SLC28A2	context
COMMON194_INFLAMMATION	SLC31A1	context
COMMON194_INFLAMMATION	SLC31A2	context
COMMON194_INFLAMMATION	SLC4A4	context
COMMON194_INFLAMMATION	SLC7A1	context
COMMON194_INFLAMMATION	SLC7A2	context
COMMON194_INFLAMMATION	SPHK1	context
COMMON194_INFLAMMATION	SRI	context
COMMON194_INFLAMMATION	STAB1	context
COMMON194_INFLAMMATION	TACR1	context
COMMON194_INFLAMMATION	TACR3	context
COMMON194_INFLAMMATION	TAPBP	context
COMMON194_INFLAMMATION	TIMP1	context
COMMON194_INFLAMMATION	TLR1	context
COMMON194_INFLAMMATION	TLR2	context
COMMON194_INFLAMMATION	TLR3	context
COMMON194_INFLAMMATION	TNFAIP6	context
COMMON194_INFLAMMATION	TNFRSF1B	context
COMMON194_INFLAMMATION	TNFRSF9	context
COMMON194_INFLAMMATION	TNFSF10	context
COMMON194_INFLAMMATION	TNFSF15	context
COMMON194_INFLAMMATION	TNFSF9	context
COMMON194_INFLAMMATION	TPBG	context
COMMON194_INFLAMMATION	VIP	context
CANDIDATE6	AQP8	context
CANDIDATE6	HMGCS2	context
CANDIDATE6	GUCA2A	context
CANDIDATE6	CA2	context
CANDIDATE6	SLC26A3	context
CANDIDATE6	MS4A12	context
