Package	Version	LibPath	Built
coxme	2.2-22	/usr/local/lib/R/site-library	4.3.3
cpp11	0.5.4	/usr/local/lib/R/site-library	4.3.3
crayon	1.5.3	/usr/local/lib/R/site-library	4.3.3
credentials	2.0.3	/usr/local/lib/R/site-library	4.3.3
crosstalk	1.2.2	/usr/local/lib/R/site-library	4.3.3
curl	7.0.0	/usr/local/lib/R/site-library	4.3.3
data.table	1.18.2.1	/usr/local/lib/R/site-library	4.3.3
data.tree	1.2.0	/usr/local/lib/R/site-library	4.3.3
datawizard	1.3.0	/usr/local/lib/R/site-library	4.3.3
DBI	1.3.0	/usr/local/lib/R/site-library	4.3.3
dbplyr	2.5.2	/usr/local/lib/R/site-library	4.3.3
decoupleR	2.8.0	/usr/local/lib/R/site-library	4.3.3
DelayedArray	0.28.0	/usr/local/lib/R/site-library	4.3.3
DelayedMatrixStats	1.24.0	/usr/local/lib/R/site-library	4.3.3
deldir	2.0-4	/usr/local/lib/R/site-library	4.3.3
dendextend	1.19.1	/usr/local/lib/R/site-library	4.3.3
DEoptimR	1.1-4	/usr/local/lib/R/site-library	4.3.3
depmap	1.16.0	/usr/local/lib/R/site-library	4.3.3
Deriv	4.2.0	/usr/local/lib/R/site-library	4.3.3
desc	1.4.3	/usr/local/lib/R/site-library	4.3.3
DESeq2	1.42.1	/usr/local/lib/R/site-library	4.3.3
deSolve	1.42	/usr/local/lib/R/site-library	4.3.3
devtools	2.5.0	/usr/local/lib/R/site-library	4.3.3
diagram	1.6.5	/usr/local/lib/R/site-library	4.3.3
DiagrammeR	1.0.11	/usr/local/lib/R/site-library	4.3.3
DiceKriging	1.6.1	/usr/local/lib/R/site-library	4.3.3
dichromat	2.0-0.1	/usr/local/lib/R/site-library	4.3.3
diffobj	0.3.6	/usr/local/lib/R/site-library	4.3.3
digest	0.6.39	/usr/local/lib/R/site-library	4.3.3
diptest	0.77-2	/usr/local/lib/R/site-library	4.3.3
dir.expiry	1.10.0	/usr/local/lib/R/site-library	4.3.3
DirichletReg	0.7-2	/usr/local/lib/R/site-library	4.3.3
distributional	0.7.0	/usr/local/lib/R/site-library	4.3.3
dlm	1.1-6.1	/usr/local/lib/R/site-library	4.3.3
DMRcate	2.16.1	/usr/local/lib/R/site-library	4.3.3
DMwR	0.4.1	/usr/local/lib/R/site-library	4.3.3
DNAcopy	1.76.0	/usr/local/lib/R/site-library	4.3.3
doBy	4.7.1	/usr/local/lib/R/site-library	4.3.3
doParallel	1.0.17	/usr/local/lib/R/site-library	4.3.3
doRNG	1.8.6.3	/usr/local/lib/R/site-library	4.3.3
dorothea	1.7.4	/usr/local/lib/R/site-library	4.3.3
DOSE	3.28.2	/usr/local/lib/R/site-library	4.3.3
dotCall64	1.2	/usr/local/lib/R/site-library	4.3.3
DoubletFinder	2.0.6	/usr/local/lib/R/site-library	4.3.3
downlit	0.4.5	/usr/local/lib/R/site-library	4.3.3
downloader	0.4.1	/usr/local/lib/R/site-library	4.3.3
dplyr	1.2.1	/usr/local/lib/R/site-library	4.3.3
dqrng	0.4.1	/usr/local/lib/R/site-library	4.3.3
DropletUtils	1.22.0	/usr/local/lib/R/site-library	4.3.3
DT	0.34.0	/usr/local/lib/R/site-library	4.3.3
dtplyr	1.3.3	/usr/local/lib/R/site-library	4.3.3
dunn.test	1.3.7	/usr/local/lib/R/site-library	4.3.3
dynamicTreeCut	1.63-1	/usr/local/lib/R/site-library	4.3.3
e1071	1.7-17	/usr/local/lib/R/site-library	4.3.3
edgeR	4.0.16	/usr/local/lib/R/site-library	4.3.3
effectsize	1.0.2	/usr/local/lib/R/site-library	4.3.3
effsize	0.8.1	/usr/local/lib/R/site-library	4.3.3
ellipse	0.5.0	/usr/local/lib/R/site-library	4.3.3
ellipsis	0.3.3	/usr/local/lib/R/site-library	4.3.3
ELMER	2.26.0	/usr/local/lib/R/site-library	4.3.3
ELMER.data	2.26.0	/usr/local/lib/R/site-library	4.3.3
emoa	0.5-3	/usr/local/lib/R/site-library	4.3.3
EnhancedVolcano	1.20.0	/usr/local/lib/R/site-library	4.3.3
enrichit	0.1.4	/usr/local/lib/R/site-library	4.3.3
enrichplot	1.31.5	/usr/local/lib/R/site-library	4.3.3
ensembldb	2.26.0	/usr/local/lib/R/site-library	4.3.3
entropy	1.3.2	/usr/local/lib/R/site-library	4.3.3
EPIC	1.1.7	/usr/local/lib/R/site-library	4.3.3
evaluate	1.0.5	/usr/local/lib/R/site-library	4.3.3
exactRankTests	0.8-36	/usr/local/lib/R/site-library	4.3.3
ExperimentHub	2.10.0	/usr/local/lib/R/site-library	4.3.3
