Package	Version	LibPath
ggdist	3.3.3	/usr/local/lib/R/site-library
ggforce	0.5.0	/usr/local/lib/R/site-library
ggfun	0.2.0	/usr/local/lib/R/site-library
gggrid	0.2-0	/usr/local/lib/R/site-library
ggiraph	0.9.6	/usr/local/lib/R/site-library
ggnetwork	0.5.14	/usr/local/lib/R/site-library
ggnewscale	0.5.2	/usr/local/lib/R/site-library
ggplot2	4.0.2	/usr/local/lib/R/site-library
ggplotify	0.1.3	/usr/local/lib/R/site-library
ggpp	0.6.0	/usr/local/lib/R/site-library
ggpubr	0.6.3	/usr/local/lib/R/site-library
ggraph	2.2.2	/usr/local/lib/R/site-library
ggrastr	1.0.2	/usr/local/lib/R/site-library
ggrepel	0.9.8	/usr/local/lib/R/site-library
ggridges	0.5.7	/usr/local/lib/R/site-library
ggsci	4.3.0	/usr/local/lib/R/site-library
ggseg	2.1.1	/usr/local/lib/R/site-library
ggseg.extra	1.9.9.9001	/usr/local/lib/R/site-library
ggseg.formats	0.0.2	/usr/local/lib/R/site-library
ggseg3d	2.1.0	/usr/local/lib/R/site-library
ggsegDefaultExtra	2.0.0	/usr/local/lib/R/site-library
ggsegDKT	2.0.1	/usr/local/lib/R/site-library
ggsignif	0.6.4	/usr/local/lib/R/site-library
ggtangle	0.1.1	/usr/local/lib/R/site-library
ggtext	0.1.2	/usr/local/lib/R/site-library
ggtree	4.1.2	/usr/local/lib/R/site-library
ggVennDiagram	1.5.7	/usr/local/lib/R/site-library
gh	1.5.0	/usr/local/lib/R/site-library
gitcreds	0.1.2	/usr/local/lib/R/site-library
glmnet	4.1-10	/usr/local/lib/R/site-library
GlobalOptions	0.1.4	/usr/local/lib/R/site-library
globals	0.19.1	/usr/local/lib/R/site-library
globaltest	5.56.0	/usr/local/lib/R/site-library
glue	1.8.0	/usr/local/lib/R/site-library
gmodels	2.19.1	/usr/local/lib/R/site-library
gmp	0.7-5.1	/usr/local/lib/R/site-library
GO.db	3.18.0	/usr/local/lib/R/site-library
goftest	1.2-3	/usr/local/lib/R/site-library
googledrive	2.1.2	/usr/local/lib/R/site-library
googlesheets4	1.1.2	/usr/local/lib/R/site-library
GOSemSim	2.37.2	/usr/local/lib/R/site-library
goseq	1.54.0	/usr/local/lib/R/site-library
gower	1.0.2	/usr/local/lib/R/site-library
GPArotation	2025.3-1	/usr/local/lib/R/site-library
gplots	3.3.0	/usr/local/lib/R/site-library
gprofiler2	0.2.4	/usr/local/lib/R/site-library
graph	1.80.0	/usr/local/lib/R/site-library
graphite	1.48.0	/usr/local/lib/R/site-library
graphlayouts	1.2.3	/usr/local/lib/R/site-library
gridBase	0.4-7	/usr/local/lib/R/site-library
gridExtra	2.3	/usr/local/lib/R/site-library
gridGraphics	0.5-1	/usr/local/lib/R/site-library
gridtext	0.1.6	/usr/local/lib/R/site-library
grr	0.9.5	/usr/local/lib/R/site-library
GSEABase	1.64.0	/usr/local/lib/R/site-library
gson	0.1.0	/usr/local/lib/R/site-library
gsubfn	0.7	/usr/local/lib/R/site-library
GSVA	1.50.5	/usr/local/lib/R/site-library
gtable	0.3.6	/usr/local/lib/R/site-library
gtools	3.9.5	/usr/local/lib/R/site-library
Gviz	1.46.1	/usr/local/lib/R/site-library
gwasglue2	0.0.0.9000	/usr/local/lib/R/site-library
gwasvcf	0.1.6	/usr/local/lib/R/site-library
hardhat	1.4.3	/usr/local/lib/R/site-library
harmony	1.2.4	/usr/local/lib/R/site-library
hash	2.2.6.4	/usr/local/lib/R/site-library
haven	2.5.5	/usr/local/lib/R/site-library
HDF5Array	1.30.1	/usr/local/lib/R/site-library
hdf5r	1.3.12	/usr/local/lib/R/site-library
HDO.db	0.99.1	/usr/local/lib/R/site-library
here	1.0.2	/usr/local/lib/R/site-library
hexbin	1.28.5	/usr/local/lib/R/site-library
hgu133a2.db	3.13.0	/usr/local/lib/R/site-library
HiddenMarkov	1.8-14	/usr/local/lib/R/site-library
highr	0.12	/usr/local/lib/R/site-library
Hmisc	5.2-5	/usr/local/lib/R/site-library
hms	1.1.4	/usr/local/lib/R/site-library
homologene	1.4.68.19.3.27	/usr/local/lib/R/site-library
htmlTable	2.4.3	/usr/local/lib/R/site-library
htmltools	0.5.9	/usr/local/lib/R/site-library
htmlwidgets	1.6.4	/usr/local/lib/R/site-library
httpuv	1.6.17	/usr/local/lib/R/site-library
httr	1.4.8	/usr/local/lib/R/site-library
httr2	1.2.2	/usr/local/lib/R/site-library
ica	1.0-3	/usr/local/lib/R/site-library
iClusterPlus	1.38.0	/usr/local/lib/R/site-library
ids	1.0.1	/usr/local/lib/R/site-library
ieugwasr	1.1.0	/usr/local/lib/R/site-library
igraph	2.2.3	/usr/local/lib/R/site-library
Illumina450ProbeVariants.db	1.38.0	/usr/local/lib/R/site-library
IlluminaHumanMethylation450kanno.ilmn12.hg19	0.6.1	/usr/local/lib/R/site-library
IlluminaHumanMethylation450kmanifest	0.4.0	/usr/local/lib/R/site-library
IlluminaHumanMethylationEPICanno.ilm10b4.hg19	0.6.0	/usr/local/lib/R/site-library
IlluminaHumanMethylationEPICmanifest	0.3.0	/usr/local/lib/R/site-library
illuminaHumanv4.db	1.26.0	/usr/local/lib/R/site-library
illuminaio	0.44.0	/usr/local/lib/R/site-library
immunedeconv	2.1.0	/usr/local/lib/R/site-library
impute	1.74.1	/usr/local/lib/R/site-library
infercnv	1.18.1	/usr/local/lib/R/site-library
ini	0.3.1	/usr/local/lib/R/site-library
insight	1.4.6	/usr/local/lib/R/site-library
interactiveDisplayBase	1.40.0	/usr/local/lib/R/site-library
interp	1.1-6	/usr/local/lib/R/site-library
InterSIM	2.3.0	/usr/local/lib/R/site-library
IntNMF	1.3.0	/usr/local/lib/R/site-library
IOBR	2.2.0	/usr/local/lib/R/site-library
ipred	0.9-15	/usr/local/lib/R/site-library
IRanges	2.36.0	/usr/local/lib/R/site-library
